Emp ID;satisfaction_level;last_evaluation;number_project;average_montly_hours;time_spend_company;Work_accident;promotion_last_5years;dept;salary
12730;0.09;0.83;6,00;282,00;4,00;0,00;0,00;technical;medium
12729;0.43;0.49;2,00;160,00;3,00;0,00;0,00;technical;medium
12728;0.43;0.57;2,00;160,00;3,00;0,00;0,00;technical;medium
12727;0.45;0.46;2,00;153,00;3,00;1,00;0,00;technical;medium
12726;0.43;0.46;2,00;149,00;3,00;0,00;0,00;technical;medium
12725;0.45;0.56;2,00;146,00;3,00;0,00;0,00;technical;medium
12724;0.38;0.54;2,00;135,00;3,00;0,00;0,00;technical;medium
12723;0.44;0.47;2,00;130,00;3,00;0,00;0,00;technical;low
12722;0.31;0.87;4,00;184,00;3,00;0,00;0,00;technical;low
12721;0.42;0.49;2,00;139,00;3,00;0,00;0,00;hr;low
12720;0.8;1,00;5,00;260,00;5,00;0,00;0,00;hr;low
12719;0.91;1,00;5,00;244,00;6,00;0,00;0,00;hr;low
12718;0.11;0.78;6,00;243,00;4,00;0,00;0,00;hr;low
12717;0.43;0.47;2,00;131,00;3,00;0,00;0,00;accounting;low
12716;0.36;0.45;2,00;127,00;3,00;0,00;0,00;accounting;low
12715;0.4;0.51;2,00;144,00;3,00;0,00;0,00;accounting;low
12714;0.73;0.92;5,00;232,00;5,00;0,00;0,00;sales;low
12713;0.84;0.98;5,00;270,00;5,00;0,00;0,00;sales;low
12712;0.4;0.55;2,00;159,00;3,00;0,00;0,00;sales;low
12711;0.64;0.9;6,00;252,00;2,00;0,00;0,00;sales;low
12710;0.42;0.48;2,00;140,00;3,00;0,00;0,00;sales;low
12709;0.11;0.87;6,00;255,00;4,00;0,00;0,00;sales;low
12708;0.79;0.91;5,00;271,00;5,00;0,00;0,00;sales;low
12707;0.79;0.93;4,00;226,00;5,00;0,00;0,00;sales;low
12706;0.45;0.54;2,00;152,00;3,00;0,00;0,00;sales;low
12705;0.74;0.54;5,00;216,00;3,00;0,00;0,00;sales;low
12704;0.44;0.53;2,00;159,00;3,00;0,00;0,00;sales;low
12703;0.45;0.5;2,00;147,00;3,00;0,00;0,00;sales;low
12702;0.89;0.82;4,00;243,00;5,00;0,00;0,00;sales;medium
12701;0.46;0.54;2,00;143,00;3,00;0,00;0,00;sales;medium
12700;0.38;0.45;2,00;156,00;3,00;0,00;0,00;sales;medium
12699;0.43;0.48;2,00;135,00;3,00;0,00;0,00;sales;medium
12698;0.11;0.8;6,00;306,00;4,00;0,00;0,00;sales;low
12697;0.1;0.81;7,00;291,00;4,00;0,00;0,00;sales;high
12696;0.35;0.99;3,00;236,00;4,00;0,00;0,00;sales;medium
12695;0.78;0.71;3,00;249,00;5,00;0,00;0,00;marketing;medium
12694;0.1;0.83;6,00;278,00;4,00;0,00;0,00;marketing;medium
12693;0.84;0.86;5,00;268,00;5,00;0,00;0,00;marketing;medium
12692;0.42;0.75;3,00;218,00;4,00;0,00;0,00;management;medium
12691;0.36;0.49;2,00;145,00;3,00;0,00;0,00;technical;medium
12690;0.87;1,00;4,00;228,00;5,00;0,00;0,00;support;medium
12689;0.09;0.82;6,00;257,00;4,00;0,00;0,00;accounting;medium
12688;0.09;0.92;7,00;254,00;4,00;0,00;0,00;sales;medium
12687;0.1;0.96;7,00;255,00;4,00;0,00;0,00;marketing;medium
12686;0.79;0.84;4,00;240,00;5,00;0,00;0,00;sales;medium
12685;0.42;1,00;3,00;202,00;3,00;0,00;0,00;sales;medium
12684;0.86;0.98;3,00;158,00;5,00;0,00;0,00;sales;low
12683;0.11;0.87;7,00;278,00;4,00;0,00;0,00;sales;low
12682;0.4;0.49;2,00;128,00;3,00;0,00;0,00;sales;low
12681;0.1;0.83;6,00;269,00;4,00;0,00;0,00;IT;low
12680;0.86;1,00;5,00;229,00;5,00;0,00;0,00;product_mng;low
12679;0.43;0.47;2,00;158,00;3,00;0,00;0,00;product_mng;low
12678;0.73;0.89;5,00;236,00;6,00;0,00;0,00;product_mng;low
12677;0.11;0.82;6,00;270,00;4,00;0,00;0,00;product_mng;low
12676;0.43;0.57;2,00;127,00;3,00;0,00;0,00;IT;low
12675;0.46;0.5;2,00;157,00;3,00;0,00;0,00;IT;low
12674;0.37;0.46;2,00;149,00;3,00;0,00;0,00;IT;low
12673;0.46;0.57;2,00;154,00;3,00;0,00;0,00;IT;low
12672;0.11;0.94;6,00;264,00;4,00;0,00;0,00;IT;low
12671;0.11;0.95;6,00;245,00;4,00;0,00;0,00;management;low
12670;0.72;0.6;3,00;153,00;5,00;0,00;0,00;technical;low
12669;0.1;0.92;6,00;258,00;4,00;0,00;0,00;technical;low
12668;0.91;0.97;4,00;274,00;6,00;0,00;0,00;technical;low
12667;0.46;0.62;6,00;213,00;3,00;0,00;0,00;support;low
12666;0.75;0.85;5,00;267,00;5,00;0,00;0,00;support;low
12665;0.1;0.77;5,00;276,00;4,00;0,00;0,00;support;low
12664;0.1;0.79;6,00;256,00;5,00;0,00;0,00;support;low
12663;0.78;0.89;5,00;274,00;6,00;0,00;0,00;support;medium
12662;0.39;0.46;2,00;136,00;3,00;0,00;0,00;support;medium
12661;0.44;0.5;2,00;130,00;3,00;0,00;0,00;support;medium
12660;0.77;0.91;5,00;221,00;6,00;0,00;0,00;support;medium
12659;0.38;0.53;2,00;146,00;3,00;0,00;0,00;support;low
12658;0.43;0.55;2,00;130,00;3,00;0,00;0,00;support;high
12657;0.79;0.86;5,00;235,00;5,00;0,00;0,00;support;medium
12656;0.77;1,00;4,00;232,00;5,00;0,00;0,00;technical;medium
12655;0.1;0.89;7,00;308,00;4,00;0,00;0,00;technical;medium
12654;0.37;0.51;2,00;132,00;3,00;0,00;0,00;technical;medium
12653;0.09;0.77;6,00;290,00;4,00;0,00;0,00;technical;medium
12652;0.09;0.88;6,00;269,00;4,00;0,00;0,00;technical;medium
12651;0.39;0.45;2,00;134,00;3,00;0,00;0,00;technical;medium
12650;0.46;0.5;2,00;156,00;3,00;0,00;0,00;technical;medium
12649;0.45;0.54;2,00;129,00;3,00;0,00;0,00;technical;medium
12648;0.46;0.5;2,00;151,00;3,00;0,00;0,00;technical;medium
12647;0.51;0.83;5,00;249,00;4,00;0,00;0,00;technical;medium
12646;0.4;0.54;2,00;141,00;3,00;0,00;0,00;technical;medium
12645;0.58;0.62;4,00;238,00;3,00;0,00;0,00;hr;low
12644;0.37;0.47;2,00;148,00;3,00;0,00;0,00;hr;low
12643;0.73;0.97;5,00;235,00;5,00;0,00;0,00;hr;low
12642;0.74;0.97;4,00;228,00;5,00;0,00;0,00;hr;low
12641;0.37;0.52;2,00;128,00;3,00;0,00;0,00;accounting;low
12640;0.43;0.48;2,00;153,00;3,00;0,00;0,00;accounting;low
12639;0.84;0.83;4,00;227,00;5,00;0,00;0,00;accounting;low
12638;0.43;0.52;2,00;147,00;3,00;0,00;0,00;sales;low
12637;0.44;0.53;2,00;140,00;3,00;0,00;0,00;sales;low
12636;0.39;0.57;2,00;127,00;3,00;0,00;0,00;sales;low
12635;0.82;0.92;5,00;225,00;5,00;0,00;0,00;sales;low
12634;0.38;0.56;2,00;154,00;3,00;0,00;0,00;sales;low
12633;0.11;0.89;6,00;260,00;5,00;0,00;0,00;sales;low
12632;0.34;0.67;4,00;141,00;2,00;0,00;0,00;sales;low
12631;0.1;0.9;7,00;286,00;4,00;0,00;0,00;sales;low
12630;0.46;0.54;2,00;144,00;3,00;0,00;0,00;sales;low
12629;0.72;0.85;5,00;244,00;6,00;0,00;0,00;sales;low
12628;0.41;0.46;2,00;156,00;3,00;1,00;0,00;sales;low
12627;0.44;0.49;2,00;145,00;3,00;0,00;0,00;sales;low
12626;0.78;0.98;5,00;263,00;6,00;0,00;0,00;sales;low
12625;0.38;0.5;2,00;140,00;3,00;0,00;0,00;sales;low
12624;0.36;0.52;2,00;146,00;3,00;0,00;0,00;sales;medium
12623;0.1;0.55;2,00;247,00;4,00;0,00;0,00;sales;medium
12622;0.1;0.86;6,00;247,00;4,00;0,00;0,00;sales;medium
12621;0.8;0.75;3,00;268,00;2,00;0,00;0,00;sales;medium
12620;0.43;0.51;2,00;141,00;3,00;0,00;0,00;sales;low
12619;0.45;0.57;2,00;148,00;3,00;0,00;0,00;marketing;high
12618;0.83;0.95;4,00;251,00;5,00;0,00;0,00;marketing;medium
12617;0.39;0.49;2,00;144,00;3,00;0,00;0,00;marketing;medium
12616;0.1;0.88;7,00;267,00;4,00;0,00;0,00;management;medium
12615;0.09;0.9;7,00;296,00;4,00;0,00;0,00;technical;medium
12614;0.81;0.97;5,00;243,00;5,00;0,00;0,00;support;medium
12613;0.37;0.47;2,00;138,00;3,00;1,00;0,00;accounting;medium
12612;0.39;0.53;2,00;127,00;3,00;0,00;0,00;sales;medium
12611;0.09;0.95;7,00;256,00;4,00;0,00;0,00;marketing;medium
12610;0.1;0.85;7,00;279,00;4,00;0,00;0,00;RandD;medium
12609;0.45;0.49;2,00;134,00;3,00;0,00;0,00;RandD;medium
12608;0.11;0.88;5,00;250,00;4,00;0,00;0,00;RandD;medium
12607;0.38;0.56;2,00;161,00;3,00;0,00;0,00;RandD;medium
12606;0.86;0.92;5,00;252,00;5,00;0,00;0,00;RandD;low
12605;0.11;0.79;6,00;292,00;4,00;0,00;0,00;IT;low
12604;0.83;0.9;5,00;245,00;5,00;0,00;0,00;product_mng;low
12603;0.1;0.84;7,00;250,00;4,00;0,00;0,00;product_mng;low
12602;0.84;0.94;5,00;222,00;6,00;0,00;0,00;product_mng;low
12601;0.77;0.98;5,00;259,00;6,00;0,00;0,00;product_mng;low
12600;0.11;0.92;7,00;307,00;4,00;0,00;0,00;IT;low
12599;0.37;0.46;2,00;157,00;3,00;0,00;0,00;IT;low
12598;0.11;0.9;6,00;263,00;4,00;0,00;0,00;IT;low
12597;0.86;0.84;5,00;222,00;5,00;0,00;0,00;IT;low
12596;0.09;0.87;5,00;263,00;4,00;0,00;0,00;IT;low
12595;0.1;0.77;6,00;255,00;4,00;0,00;0,00;management;low
12594;0.37;0.54;2,00;132,00;3,00;0,00;0,00;technical;low
12593;0.1;0.8;6,00;264,00;4,00;0,00;0,00;technical;low
12592;0.66;0.67;2,00;255,00;3,00;0,00;0,00;technical;low
12591;0.38;0.55;2,00;148,00;3,00;0,00;0,00;support;low
12590;0.39;0.54;2,00;155,00;3,00;0,00;0,00;support;low
12589;0.87;0.9;5,00;258,00;5,00;0,00;0,00;support;low
12588;0.8;0.83;2,00;211,00;3,00;0,00;0,00;support;low
12587;0.46;0.57;2,00;152,00;3,00;0,00;0,00;support;low
12586;0.4;0.51;2,00;139,00;3,00;0,00;0,00;support;low
12585;0.41;0.56;2,00;154,00;3,00;0,00;1,00;support;medium
12584;0.44;0.56;2,00;145,00;3,00;0,00;0,00;support;medium
12583;0.74;0.87;5,00;242,00;5,00;0,00;0,00;support;medium
12582;0.81;0.88;5,00;242,00;5,00;0,00;0,00;support;medium
12581;0.44;0.51;2,00;145,00;3,00;0,00;0,00;support;low
12580;0.39;0.55;2,00;159,00;3,00;0,00;0,00;technical;high
12579;0.9;0.96;5,00;243,00;5,00;0,00;0,00;technical;medium
12578;0.57;0.72;4,00;275,00;6,00;0,00;0,00;technical;medium
12577;0.48;0.78;2,00;198,00;2,00;0,00;0,00;technical;medium
12576;0.39;0.49;2,00;129,00;3,00;0,00;0,00;technical;medium
12575;0.37;0.49;2,00;151,00;3,00;0,00;0,00;technical;medium
12574;0.36;0.47;2,00;148,00;3,00;0,00;0,00;technical;medium
12573;0.75;0.97;5,00;243,00;6,00;0,00;0,00;technical;medium
12572;0.73;1,00;4,00;252,00;5,00;0,00;0,00;technical;medium
12571;0.44;0.52;2,00;137,00;3,00;0,00;0,00;technical;medium
12570;0.25;0.46;4,00;214,00;4,00;0,00;0,00;technical;medium
12569;0.44;0.51;2,00;134,00;3,00;0,00;0,00;hr;medium
12568;0.1;0.97;6,00;282,00;4,00;0,00;0,00;hr;medium
12567;0.11;0.79;7,00;310,00;4,00;0,00;0,00;hr;low
12566;0.79;0.58;3,00;294,00;4,00;0,00;0,00;hr;low
12565;0.41;0.53;2,00;157,00;3,00;0,00;0,00;accounting;low
12564;0.1;0.77;7,00;291,00;4,00;0,00;0,00;accounting;low
12563;0.4;0.57;2,00;160,00;3,00;0,00;0,00;accounting;low
12562;0.37;0.53;2,00;131,00;3,00;0,00;0,00;sales;low
12561;0.09;0.86;6,00;279,00;4,00;0,00;0,00;sales;low
12560;0.11;0.8;7,00;296,00;4,00;0,00;0,00;sales;low
12559;0.43;0.55;2,00;136,00;3,00;0,00;0,00;sales;low
12558;0.43;0.57;2,00;157,00;3,00;0,00;0,00;sales;low
12557;0.46;0.48;2,00;141,00;3,00;1,00;0,00;sales;low
12556;0.1;0.9;7,00;281,00;4,00;0,00;0,00;sales;low
12555;0.43;0.53;2,00;150,00;3,00;0,00;0,00;sales;low
12554;0.79;1,00;5,00;257,00;6,00;0,00;0,00;sales;low
12553;0.82;0.85;5,00;248,00;5,00;0,00;0,00;sales;low
12552;0.75;0.99;5,00;254,00;5,00;0,00;0,00;sales;low
12551;0.11;0.96;6,00;298,00;4,00;0,00;0,00;sales;low
12550;0.41;0.47;2,00;138,00;3,00;0,00;0,00;sales;low
12549;0.85;0.82;4,00;270,00;5,00;0,00;0,00;sales;low
12548;0.37;0.5;2,00;141,00;3,00;0,00;0,00;sales;low
12547;0.37;0.47;2,00;149,00;3,00;0,00;0,00;sales;low
12546;0.78;1,00;5,00;236,00;5,00;0,00;0,00;sales;medium
12545;0.43;0.49;2,00;135,00;3,00;0,00;0,00;sales;medium
12544;0.89;0.92;5,00;237,00;5,00;0,00;0,00;sales;medium
12543;0.77;0.91;5,00;236,00;5,00;0,00;0,00;marketing;medium
12542;0.81;0.87;4,00;254,00;5,00;0,00;0,00;marketing;low
12541;0.45;0.54;2,00;129,00;3,00;0,00;0,00;marketing;high
12540;0.11;0.94;7,00;244,00;4,00;0,00;0,00;management;medium
12539;0.87;1,00;5,00;261,00;5,00;1,00;0,00;technical;medium
12538;0.45;0.45;2,00;154,00;3,00;1,00;0,00;support;medium
12537;0.11;0.85;6,00;305,00;4,00;0,00;0,00;accounting;medium
12536;0.37;0.56;2,00;156,00;3,00;0,00;0,00;sales;medium
12535;0.75;0.85;5,00;240,00;6,00;1,00;0,00;marketing;medium
12534;0.43;0.51;2,00;136,00;3,00;0,00;0,00;hr;medium
12533;0.1;0.84;6,00;246,00;4,00;0,00;0,00;hr;medium
12532;0.37;0.54;2,00;131,00;3,00;1,00;0,00;hr;medium
12531;0.4;0.56;2,00;137,00;3,00;0,00;0,00;accounting;medium
12530;0.39;0.57;2,00;145,00;3,00;0,00;0,00;accounting;medium
12529;0.09;0.8;6,00;301,00;5,00;0,00;0,00;IT;medium
12528;0.09;0.9;7,00;289,00;4,00;0,00;0,00;product_mng;low
12527;0.41;0.45;2,00;144,00;3,00;1,00;0,00;product_mng;low
12526;0.41;0.56;2,00;150,00;3,00;0,00;0,00;product_mng;low
12525;0.75;0.99;5,00;221,00;5,00;0,00;0,00;product_mng;low
12524;0.74;0.82;4,00;239,00;6,00;0,00;0,00;IT;low
12523;0.1;0.95;7,00;289,00;4,00;0,00;0,00;IT;low
12522;0.74;0.99;4,00;233,00;5,00;0,00;0,00;IT;low
12521;0.87;0.94;4,00;274,00;5,00;0,00;0,00;IT;low
12520;0.39;0.51;2,00;129,00;3,00;0,00;0,00;IT;low
12519;0.44;0.54;2,00;151,00;3,00;0,00;0,00;management;low
12518;0.09;0.86;7,00;309,00;4,00;0,00;0,00;technical;low
12517;0.1;0.89;6,00;247,00;4,00;0,00;0,00;technical;low
12516;0.88;1,00;5,00;219,00;6,00;1,00;0,00;technical;low
12515;0.83;0.96;5,00;275,00;5,00;0,00;0,00;support;low
12514;0.11;0.89;6,00;293,00;4,00;0,00;0,00;support;low
12513;0.09;0.96;6,00;259,00;4,00;0,00;0,00;support;low
12512;0.53;0.85;2,00;164,00;5,00;0,00;0,00;support;low
12511;0.44;0.48;2,00;146,00;3,00;0,00;0,00;support;low
12510;0.37;0.57;2,00;155,00;3,00;0,00;0,00;support;low
12509;0.38;0.55;2,00;158,00;3,00;0,00;0,00;support;low
12508;0.39;0.54;2,00;158,00;3,00;0,00;0,00;support;low
12507;0.83;0.98;4,00;259,00;5,00;0,00;0,00;support;medium
12506;0.11;0.97;6,00;289,00;5,00;0,00;0,00;support;medium
12505;0.78;0.83;4,00;217,00;6,00;0,00;0,00;support;medium
12504;0.43;0.51;2,00;155,00;3,00;0,00;0,00;technical;medium
12503;0.11;0.87;7,00;282,00;5,00;0,00;0,00;technical;low
12502;0.66;0.57;5,00;161,00;5,00;0,00;0,00;technical;high
12501;0.91;0.84;5,00;265,00;5,00;0,00;0,00;technical;medium
12500;0.89;0.95;2,00;181,00;5,00;0,00;0,00;technical;medium
12499;0.44;0.48;2,00;143,00;3,00;0,00;0,00;technical;medium
12498;0.59;0.49;7,00;263,00;4,00;0,00;0,00;technical;medium
12497;0.1;0.82;6,00;244,00;4,00;0,00;0,00;technical;medium
12496;0.82;0.99;4,00;263,00;6,00;0,00;0,00;technical;medium
12495;0.84;1,00;5,00;218,00;5,00;0,00;0,00;technical;medium
12494;0.1;0.94;6,00;309,00;4,00;0,00;0,00;technical;medium
12493;0.11;0.83;6,00;244,00;4,00;0,00;0,00;hr;medium
12492;0.39;0.51;2,00;151,00;3,00;0,00;0,00;hr;medium
12491;0.53;0.56;4,00;281,00;6,00;0,00;0,00;hr;medium
12490;0.76;0.88;4,00;206,00;4,00;0,00;0,00;hr;medium
12489;0.1;0.83;7,00;276,00;4,00;0,00;0,00;accounting;low
12488;0.19;1,00;4,00;192,00;4,00;0,00;0,00;accounting;low
12487;0.38;0.49;2,00;135,00;3,00;0,00;0,00;accounting;low
12486;0.32;0.95;5,00;172,00;2,00;0,00;0,00;sales;low
12485;0.38;0.52;2,00;145,00;3,00;0,00;0,00;sales;low
12484;0.42;0.54;2,00;143,00;3,00;1,00;0,00;sales;low
12483;0.77;0.87;4,00;242,00;6,00;0,00;0,00;sales;low
12482;0.1;0.79;6,00;274,00;4,00;0,00;0,00;sales;low
12481;0.37;0.49;2,00;151,00;3,00;0,00;0,00;sales;low
12480;0.11;0.96;7,00;277,00;5,00;0,00;0,00;sales;low
12479;0.76;0.83;5,00;227,00;5,00;0,00;0,00;sales;low
12478;0.09;0.79;6,00;275,00;4,00;0,00;0,00;sales;low
12477;0.11;0.87;5,00;271,00;4,00;0,00;0,00;sales;low
12476;0.45;0.57;2,00;134,00;3,00;0,00;0,00;sales;low
12475;0.87;1,00;5,00;242,00;5,00;0,00;0,00;sales;low
12474;0.42;0.56;2,00;149,00;3,00;0,00;0,00;sales;low
12473;0.89;0.85;5,00;266,00;5,00;0,00;0,00;sales;low
12472;0.44;0.53;2,00;149,00;3,00;0,00;0,00;sales;low
12471;0.1;0.85;6,00;260,00;4,00;0,00;0,00;sales;low
12470;0.41;0.52;2,00;159,00;3,00;0,00;0,00;sales;low
12469;0.9;0.92;5,00;245,00;5,00;0,00;0,00;sales;low
12468;0.09;0.95;6,00;292,00;4,00;0,00;0,00;sales;medium
12467;0.37;0.48;2,00;134,00;3,00;0,00;0,00;marketing;medium
12466;0.37;0.54;2,00;152,00;3,00;0,00;0,00;marketing;medium
12465;0.82;0.98;5,00;234,00;5,00;0,00;0,00;marketing;medium
12464;0.8;0.85;4,00;273,00;5,00;0,00;0,00;management;low
12463;0.8;0.53;3,00;255,00;5,00;0,00;0,00;technical;high
12462;0.43;0.5;2,00;137,00;3,00;0,00;0,00;support;medium
12461;0.43;0.49;2,00;135,00;3,00;0,00;0,00;accounting;medium
12460;0.4;0.48;2,00;137,00;3,00;0,00;0,00;sales;medium
12459;0.41;0.48;2,00;136,00;3,00;0,00;0,00;marketing;medium
12458;0.77;1,00;4,00;255,00;5,00;0,00;0,00;RandD;medium
12457;0.86;0.93;5,00;223,00;5,00;0,00;0,00;RandD;medium
12456;0.44;0.53;2,00;127,00;3,00;0,00;0,00;RandD;medium
12455;0.09;0.97;7,00;254,00;4,00;1,00;0,00;RandD;medium
12454;0.37;0.54;2,00;145,00;3,00;0,00;0,00;RandD;medium
12453;0.1;0.87;6,00;286,00;4,00;0,00;0,00;IT;medium
12452;0.85;0.98;5,00;248,00;5,00;0,00;0,00;product_mng;medium
12451;0.81;0.9;4,00;226,00;5,00;0,00;0,00;product_mng;medium
12450;0.81;0.92;5,00;239,00;5,00;0,00;0,00;product_mng;low
12449;0.36;0.48;2,00;159,00;3,00;0,00;0,00;product_mng;low
12448;0.1;0.84;5,00;298,00;4,00;0,00;0,00;IT;low
12447;0.44;0.46;2,00;143,00;3,00;0,00;0,00;IT;low
12446;0.09;0.94;6,00;283,00;5,00;0,00;0,00;IT;low
12445;0.39;0.54;2,00;127,00;3,00;0,00;0,00;IT;low
12444;0.81;0.98;5,00;245,00;5,00;0,00;0,00;IT;low
12443;0.77;1,00;5,00;229,00;5,00;0,00;0,00;management;low
12442;0.36;0.78;2,00;151,00;4,00;0,00;0,00;technical;low
12441;0.41;0.48;2,00;139,00;3,00;0,00;0,00;technical;low
12440;0.41;0.52;2,00;136,00;3,00;0,00;0,00;technical;low
12439;0.77;0.9;4,00;237,00;5,00;0,00;0,00;support;low
12438;0.43;0.53;2,00;160,00;3,00;0,00;0,00;support;low
12437;0.11;0.85;6,00;261,00;4,00;0,00;0,00;support;low
12436;0.41;0.47;2,00;135,00;3,00;0,00;0,00;support;low
12435;0.1;0.84;6,00;309,00;4,00;0,00;0,00;support;low
12434;0.87;0.84;4,00;264,00;6,00;0,00;0,00;support;low
12433;0.44;0.51;2,00;150,00;3,00;0,00;0,00;support;low
12432;0.41;0.57;2,00;160,00;3,00;0,00;0,00;support;low
12431;0.89;0.65;5,00;195,00;6,00;0,00;0,00;support;low
12430;0.41;0.52;2,00;127,00;3,00;1,00;0,00;support;low
12429;0.37;0.45;2,00;126,00;3,00;0,00;0,00;support;medium
12428;0.55;0.6;3,00;180,00;4,00;0,00;0,00;technical;medium
12427;0.74;0.92;4,00;261,00;5,00;0,00;0,00;technical;medium
12426;0.42;0.51;2,00;136,00;3,00;0,00;0,00;technical;medium
12425;0.45;0.46;2,00;130,00;3,00;0,00;0,00;technical;low
12424;0.4;0.46;2,00;143,00;3,00;0,00;0,00;technical;high
12423;0.86;1,00;5,00;257,00;5,00;0,00;0,00;technical;medium
12422;0.1;0.94;6,00;287,00;4,00;0,00;0,00;technical;medium
12421;0.09;0.96;6,00;268,00;4,00;0,00;0,00;technical;medium
12420;0.82;0.85;4,00;223,00;5,00;0,00;0,00;technical;medium
12419;0.42;0.53;3,00;199,00;4,00;0,00;0,00;technical;medium
12418;0.11;0.9;6,00;264,00;4,00;0,00;0,00;technical;medium
12417;0.82;1,00;4,00;229,00;6,00;0,00;0,00;hr;medium
12416;0.42;0.48;2,00;155,00;3,00;0,00;0,00;hr;medium
12415;0.91;0.97;5,00;233,00;5,00;0,00;0,00;hr;medium
12414;0.45;0.54;2,00;142,00;3,00;0,00;0,00;hr;medium
12413;0.45;0.53;2,00;138,00;3,00;0,00;0,00;accounting;medium
12412;0.84;0.99;4,00;262,00;6,00;0,00;0,00;accounting;medium
12411;0.28;0.45;6,00;218,00;4,00;0,00;0,00;accounting;low
12410;0.82;0.98;4,00;233,00;5,00;0,00;0,00;sales;low
12409;0.91;0.92;4,00;246,00;5,00;0,00;0,00;sales;low
12408;0.09;0.94;6,00;257,00;4,00;0,00;0,00;sales;low
12407;0.73;0.99;5,00;241,00;5,00;0,00;0,00;sales;low
12406;0.47;0.5;4,00;254,00;4,00;0,00;0,00;sales;low
12405;0.76;0.87;5,00;245,00;5,00;0,00;0,00;sales;low
12404;0.92;0.93;5,00;240,00;5,00;0,00;0,00;sales;low
12403;0.74;1,00;5,00;275,00;5,00;0,00;0,00;sales;low
